yo,xo,x0,y0,x1,y1,tx_q,ty_q
0,0,0,0,1,1,128,128
0,1,2,0,3,1,128,128
0,2,4,0,5,1,128,128
0,3,6,0,7,1,128,128
0,4,8,0,9,1,128,128
0,5,10,0,11,1,128,128
0,6,12,0,13,1,128,128
0,7,14,0,15,1,128,128
0,8,16,0,17,1,128,128
0,9,18,0,19,1,128,128
0,10,20,0,21,1,128,128
0,11,22,0,23,1,128,128
0,12,24,0,25,1,128,128
0,13,26,0,27,1,128,128
0,14,28,0,29,1,128,128
0,15,30,0,31,1,128,128
1,0,0,2,1,3,128,128
1,1,2,2,3,3,128,128
1,2,4,2,5,3,128,128
1,3,6,2,7,3,128,128
1,4,8,2,9,3,128,128
1,5,10,2,11,3,128,128
1,6,12,2,13,3,128,128
1,7,14,2,15,3,128,128
1,8,16,2,17,3,128,128
1,9,18,2,19,3,128,128
1,10,20,2,21,3,128,128
1,11,22,2,23,3,128,128
1,12,24,2,25,3,128,128
1,13,26,2,27,3,128,128
1,14,28,2,29,3,128,128
1,15,30,2,31,3,128,128
2,0,0,4,1,5,128,128
2,1,2,4,3,5,128,128
2,2,4,4,5,5,128,128
2,3,6,4,7,5,128,128
2,4,8,4,9,5,128,128
2,5,10,4,11,5,128,128
2,6,12,4,13,5,128,128
2,7,14,4,15,5,128,128
2,8,16,4,17,5,128,128
2,9,18,4,19,5,128,128
2,10,20,4,21,5,128,128
2,11,22,4,23,5,128,128
2,12,24,4,25,5,128,128
2,13,26,4,27,5,128,128
2,14,28,4,29,5,128,128
2,15,30,4,31,5,128,128
3,0,0,6,1,7,128,128
3,1,2,6,3,7,128,128
3,2,4,6,5,7,128,128
3,3,6,6,7,7,128,128
3,4,8,6,9,7,128,128
3,5,10,6,11,7,128,128
3,6,12,6,13,7,128,128
3,7,14,6,15,7,128,128
3,8,16,6,17,7,128,128
3,9,18,6,19,7,128,128
3,10,20,6,21,7,128,128
3,11,22,6,23,7,128,128
3,12,24,6,25,7,128,128
3,13,26,6,27,7,128,128
3,14,28,6,29,7,128,128
3,15,30,6,31,7,128,128
4,0,0,8,1,9,128,128
4,1,2,8,3,9,128,128
4,2,4,8,5,9,128,128
4,3,6,8,7,9,128,128
4,4,8,8,9,9,128,128
4,5,10,8,11,9,128,128
4,6,12,8,13,9,128,128
4,7,14,8,15,9,128,128
4,8,16,8,17,9,128,128
4,9,18,8,19,9,128,128
4,10,20,8,21,9,128,128
4,11,22,8,23,9,128,128
4,12,24,8,25,9,128,128
4,13,26,8,27,9,128,128
4,14,28,8,29,9,128,128
4,15,30,8,31,9,128,128
5,0,0,10,1,11,128,128
5,1,2,10,3,11,128,128
5,2,4,10,5,11,128,128
5,3,6,10,7,11,128,128
5,4,8,10,9,11,128,128
5,5,10,10,11,11,128,128
5,6,12,10,13,11,128,128
5,7,14,10,15,11,128,128
5,8,16,10,17,11,128,128
5,9,18,10,19,11,128,128
5,10,20,10,21,11,128,128
5,11,22,10,23,11,128,128
5,12,24,10,25,11,128,128
5,13,26,10,27,11,128,128
5,14,28,10,29,11,128,128
5,15,30,10,31,11,128,128
6,0,0,12,1,13,128,128
6,1,2,12,3,13,128,128
6,2,4,12,5,13,128,128
6,3,6,12,7,13,128,128
6,4,8,12,9,13,128,128
6,5,10,12,11,13,128,128
6,6,12,12,13,13,128,128
6,7,14,12,15,13,128,128
6,8,16,12,17,13,128,128
6,9,18,12,19,13,128,128
6,10,20,12,21,13,128,128
6,11,22,12,23,13,128,128
6,12,24,12,25,13,128,128
6,13,26,12,27,13,128,128
6,14,28,12,29,13,128,128
6,15,30,12,31,13,128,128
7,0,0,14,1,15,128,128
7,1,2,14,3,15,128,128
7,2,4,14,5,15,128,128
7,3,6,14,7,15,128,128
7,4,8,14,9,15,128,128
7,5,10,14,11,15,128,128
